day,tmin,tmax,tmean,p,eto_mmday,kc,etc_mmday
1.0,19.0,30.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
2.0,20.0,33.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
3.0,21.0,28.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
4.0,19.0,29.0,24.0,0.28,5.3312,1.2,6.39744
5.0,21.0,29.0,25.0,0.28,5.460000000000001,1.2,6.5520000000000005
6.0,21.0,32.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
7.0,19.0,28.0,23.5,0.28,5.266800000000001,1.2,6.3201600000000004
8.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
9.0,21.0,31.0,26.0,0.28,5.588800000000001,1.2,6.7065600000000005
10.0,21.0,32.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
11.0,18.0,29.0,23.5,0.28,5.266800000000001,1.2,6.3201600000000004
12.0,19.0,30.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
13.0,21.0,32.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
14.0,22.0,27.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
15.0,20.0,30.0,25.0,0.28,5.460000000000001,1.2,6.5520000000000005
16.0,21.0,28.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
17.0,19.0,32.0,25.5,0.28,5.524400000000001,1.2,6.6292800000000005
18.0,20.0,29.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
19.0,21.0,30.0,25.5,0.28,5.524400000000001,1.2,6.6292800000000005
20.0,20.0,30.0,25.0,0.28,5.460000000000001,1.2,6.5520000000000005
21.0,20.0,28.0,24.0,0.28,5.3312,1.2,6.39744
22.0,20.0,31.0,25.5,0.28,5.524400000000001,1.2,6.6292800000000005
23.0,19.0,30.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
24.0,21.0,31.0,26.0,0.28,5.588800000000001,1.2,6.7065600000000005
25.0,21.0,31.0,26.0,0.28,5.588800000000001,1.2,6.7065600000000005
26.0,19.0,29.0,24.0,0.28,5.3312,1.2,6.39744
27.0,19.0,28.0,23.5,0.28,5.266800000000001,1.2,6.3201600000000004
28.0,21.0,30.0,25.5,0.28,5.524400000000001,1.2,6.6292800000000005
29.0,21.0,32.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
30.0,21.0,32.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
31.0,19.0,38.0,28.5,0.28,5.9108,1.2,7.09296
32.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
33.0,22.0,30.0,26.0,0.28,5.588800000000001,1.2,6.7065600000000005
34.0,18.0,27.0,22.5,0.28,5.138000000000001,1.2,6.1656
35.0,19.0,28.0,23.5,0.28,5.266800000000001,1.2,6.3201600000000004
36.0,21.0,28.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
37.0,21.0,27.0,24.0,0.28,5.3312,1.2,6.39744
38.0,21.0,28.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
39.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
40.0,21.0,31.0,26.0,0.28,5.588800000000001,1.2,6.7065600000000005
41.0,19.0,30.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
42.0,18.0,28.0,23.0,0.28,5.2024,1.2,6.2428799999999995
43.0,21.0,27.0,24.0,0.28,5.3312,1.2,6.39744
44.0,21.0,30.0,25.5,0.28,5.524400000000001,1.2,6.6292800000000005
45.0,19.0,25.0,22.0,0.28,5.073600000000001,1.2,6.08832
46.0,19.0,27.0,23.0,0.28,5.2024,1.2,6.2428799999999995
47.0,17.0,27.0,22.0,0.28,5.073600000000001,1.2,6.08832
48.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
49.0,18.0,27.0,22.5,0.28,5.138000000000001,1.2,6.1656
50.0,20.0,30.0,25.0,0.28,5.460000000000001,1.2,6.5520000000000005
51.0,20.0,29.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
52.0,17.0,30.0,23.5,0.28,5.266800000000001,1.2,6.3201600000000004
53.0,20.0,30.0,25.0,0.28,5.460000000000001,1.2,6.5520000000000005
54.0,21.0,28.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
55.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
56.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
57.0,21.0,32.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
58.0,20.0,33.0,26.5,0.28,5.653200000000001,1.2,6.7838400000000005
59.0,19.0,30.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
60.0,18.0,30.0,24.0,0.28,5.3312,1.2,6.39744
61.0,21.0,28.0,24.5,0.28,5.395600000000002,1.2,6.474720000000002
62.0,21.0,31.0,26.0,0.28,5.588800000000001,1.2,6.7065600000000005
