day,tmin,tmax,rh,wind_kmday,sun_hr,rad_MJm2day,eto_mmday,kc,etc_mmday
1.0,19.0,30.0,24.5,165.27,5.5,19.0,4.1,1.2,4.919999999999999
2.0,20.0,33.0,26.5,211.7,7.5,19.0,4.9,1.2,5.88
3.0,21.0,28.0,24.5,193.29,4.2,19.0,4.1,1.2,4.919999999999999
4.0,19.0,29.0,24.0,238.38,5.2,19.0,4.11,1.2,4.932
5.0,21.0,29.0,25.0,138.95,2.6,19.0,4.1,1.2,4.919999999999999
6.0,21.0,32.0,26.5,118.63,5.3,19.0,4.11,1.2,4.932
7.0,19.0,28.0,23.5,200.49,4.9,19.0,4.09,1.2,4.9079999999999995
8.0,18.0,30.0,24.0,123.13,3.1,19.0,4.08,1.2,4.896
9.0,21.0,31.0,26.0,112.21,8.6,19.0,4.09,1.2,4.9079999999999995
10.0,21.0,32.0,26.5,114.97,7.1,19.0,3.69,1.2,4.428
11.0,18.0,29.0,23.5,146.44,3.7,19.0,3.58,1.2,4.296
12.0,19.0,30.0,24.5,166.94,5.8,19.0,3.56,1.2,4.272
13.0,21.0,32.0,26.5,186.54,7.4,19.0,3.8,1.2,4.56
14.0,22.0,27.0,24.5,120.97,0.1,19.0,3.12,1.2,3.7439999999999998
15.0,20.0,30.0,25.0,206.93,4.4,19.0,3.08,1.2,3.6959999999999997
16.0,21.0,28.0,24.5,165.03,3.2,9.2,3.42,1.2,4.104
17.0,19.0,32.0,25.5,154.35,6.7,9.2,2.52,1.2,3.024
18.0,20.0,29.0,24.5,173.35,3.0,9.2,2.41,1.2,2.892
19.0,21.0,30.0,25.5,139.81,5.2,9.2,2.52,1.2,3.024
20.0,20.0,30.0,25.0,159.35,6.2,9.2,2.49,1.2,2.988
21.0,20.0,28.0,24.0,104.21,4.4,9.2,2.42,1.2,2.904
22.0,20.0,31.0,25.5,189.48,5.8,9.2,2.58,1.2,3.096
23.0,19.0,30.0,24.5,182.92,6.1,9.2,2.51,1.2,3.0119999999999996
24.0,21.0,31.0,26.0,159.06,6.5,9.2,2.39,1.2,2.868
25.0,21.0,31.0,26.0,135.1,6.1,9.2,2.38,1.2,2.856
26.0,19.0,29.0,24.0,130.94,3.1,9.2,2.43,1.2,2.916
27.0,19.0,28.0,23.5,170.93,6.1,9.2,2.44,1.2,2.928
28.0,21.0,30.0,25.5,151.12,7.0,9.2,2.37,1.2,2.844
29.0,21.0,32.0,26.5,154.58,9.3,9.2,2.35,1.2,2.82
30.0,21.0,32.0,26.5,193.3,8.3,9.2,2.45,1.2,2.94
31.0,19.0,38.0,28.5,152.0,0.7,9.2,2.43,1.2,2.916
32.0,18.0,30.0,24.0,133.82,7.0,9.2,2.44,1.2,2.928
33.0,22.0,30.0,26.0,177.5,6.4,9.2,2.43,1.2,2.916
34.0,18.0,27.0,22.5,109.17,1.6,9.2,2.43,1.2,2.916
35.0,19.0,28.0,23.5,172.63,3.4,9.2,2.22,1.2,2.664
36.0,21.0,28.0,24.5,190.61,0.2,9.2,2.23,1.2,2.6759999999999997
37.0,21.0,27.0,24.0,195.37,1.0,9.2,2.33,1.2,2.796
38.0,21.0,28.0,24.5,163.41,5.4,9.2,2.33,1.2,2.796
39.0,18.0,30.0,24.0,101.4,4.1,9.2,2.39,1.2,2.868
40.0,21.0,31.0,26.0,118.09,3.4,9.2,2.39,1.2,2.868
41.0,19.0,30.0,24.5,165.98,9.0,9.2,2.39,1.2,2.868
42.0,18.0,28.0,23.0,219.41,3.8,9.2,2.39,1.2,2.868
43.0,21.0,27.0,24.0,149.21,1.6,9.2,2.37,1.2,2.844
44.0,21.0,30.0,25.5,172.23,5.3,9.2,2.39,1.2,2.868
45.0,19.0,25.0,22.0,148.64,0.5,9.2,2.39,1.2,2.868
46.0,19.0,27.0,23.0,112.31,0.8,9.2,2.36,1.2,2.832
47.0,17.0,27.0,22.0,144.08,9.0,9.2,2.39,1.2,2.868
48.0,18.0,30.0,24.0,177.61,5.5,9.2,2.39,1.2,2.868
49.0,18.0,27.0,22.5,123.67,1.9,9.2,2.35,1.2,2.82
50.0,20.0,30.0,25.0,165.98,5.2,9.2,2.39,1.2,2.868
51.0,20.0,29.0,24.5,118.88,1.2,9.2,2.38,1.2,2.856
52.0,17.0,30.0,23.5,71.38,6.7,9.2,2.39,1.2,2.868
53.0,20.0,30.0,25.0,107.53,4.0,9.2,2.32,1.2,2.784
54.0,21.0,28.0,24.5,113.39,6.3,9.2,2.39,1.2,2.868
55.0,18.0,30.0,24.0,128.48,4.2,9.2,2.38,1.2,2.856
56.0,18.0,30.0,24.0,126.73,8.8,9.2,2.39,1.2,2.868
57.0,21.0,32.0,26.5,61.81,7.4,9.2,2.31,1.2,2.772
58.0,20.0,33.0,26.5,115.18,8.0,9.2,2.39,1.2,2.868
59.0,19.0,30.0,24.5,93.03,2.7,9.2,2.3,1.2,2.76
60.0,18.0,30.0,24.0,99.99,7.3,9.2,2.35,1.2,2.82
61.0,21.0,28.0,24.5,84.73,2.8,9.2,2.31,1.2,2.772
62.0,21.0,31.0,26.0,127.64,4.4,9.2,2.32,1.2,2.784
