day,rh_10am,rh_4pm,rh_mean,tmin,tmax,tmean,ea_mbar,ed_mbar,vpd_mbar,wind_kmday,f_u,ra_mmday,n_hr,N_hr,n_over_N,rs_mmday,f_T,f_ed,f_nN,rnl_mmday,rn_mmday,w_factor,c_factor,eto_mmday,kc,etc_mmday
1.0,76.0,58.0,67.0,19.0,30.0,24.5,36.75,24.6225,12.127500000000001,107.53,0.293031,14.55,5.5,11.8,0.4661016949152542,3.6408898305084745,16.1,0.1016673180671295,0.5194915254237288,0.8503264933897637,1.8803408794915923,0.779,1.083107,2.4371647382792254,1.2,2.9245976859350704
2.0,80.0,60.0,70.0,20.0,33.0,26.5,36.75,25.725,11.024999999999999,113.39,0.308853,14.55,7.5,11.8,0.635593220338983,4.873940677966102,16.1,0.09683279810868267,0.6720338983050848,1.047706257027953,2.6077492514466236,0.779,1.066106,2.968001494660853,1.2,3.5616017935930233
3.0,83.0,65.0,74.0,21.0,28.0,24.5,35.7,26.418000000000003,9.282,128.48,0.349596,14.55,4.2,11.8,0.3559322033898305,2.839406779661017,16.2,0.09384684835271478,0.4203389830508475,0.6390493185455371,1.4905057662002257,0.774,0.940993,1.7756633696603719,1.2,2.1307960435924462
4.0,82.0,69.0,75.5,19.0,29.0,24.0,32.65,24.65075,7.99925,126.73,0.34487100000000004,14.55,5.2,11.8,0.4406779661016949,3.4559322033898305,15.65,0.10154210474327097,0.4966101694915255,0.7891800749068337,1.8027690776355394,0.769,1.023843,2.0718397666852746,1.2,2.4862077200223296
5.0,86.0,72.0,79.0,21.0,29.0,25.0,34.65,27.3735,7.276499999999999,61.81,0.16958700000000002,14.55,2.6,11.8,0.22033898305084745,1.8529661016949153,15.6,0.08979336238935251,0.2983050847457627,0.4178587386037394,0.9718658376674472,0.764,1.077397,1.1137370126330444,1.2,1.336484415159653
6.0,84.0,69.0,76.5,21.0,32.0,26.5,34.65,26.50725,8.14275,115.18,0.3136860000000001,14.55,5.3,11.8,0.4491525423728813,3.517584745762712,16.1,0.09346515499817695,0.5042372881355932,0.7587707222924035,1.8794178370296306,0.769,1.055202,2.1476609866890137,1.2,2.5771931840268163
7.0,83.0,66.0,74.5,19.0,28.0,23.5,35.7,26.596500000000002,9.1035,93.03,0.253881,14.55,4.9,11.8,0.4152542372881356,3.2709745762711866,16.2,0.09308410368596914,0.47372881355932206,0.7143652764062707,1.7388656557971194,0.774,1.019586,1.904805351295278,1.2,2.2857664215543334
8.0,84.0,82.0,83.0,18.0,30.0,24.0,36.75,30.5025,6.247499999999999,99.99,0.272673,14.55,3.1,11.8,0.2627118644067796,2.1612288135593216,16.1,0.0769920988938837,0.33644067796610166,0.4170427105932512,1.20387889957624,0.779,0.963129,1.2658410150528496,1.2,1.5190092180634196
9.0,79.0,63.0,71.0,21.0,31.0,26.0,37.8,26.837999999999997,10.962,84.73,0.23147100000000004,14.55,8.6,11.8,0.7288135593220338,5.5521186440677965,16.3,0.092056217457023,0.7559322033898305,1.1342886265577385,3.0298003564931086,0.784,1.04901,3.0667163903238195,1.2,3.680059668388583
10.0,75.0,62.0,68.5,21.0,32.0,26.5,36.75,25.17375,11.576250000000002,127.64,0.34732799999999997,14.55,7.1,11.8,0.6016949152542372,4.627330508474576,16.1,0.09923682372279566,0.6415254237288135,1.0249734207511159,2.4455244606048163,0.779,1.073504,2.998995069839643,1.2,3.5987940838075714
11.0,96.0,63.0,79.5,18.0,29.0,23.5,30.75,24.44625,6.303750000000001,88.9,0.24273000000000003,14.55,3.7,11.8,0.3135593220338983,2.5311440677966104,15.65,0.10245014364518648,0.3822033898305085,0.6128037977705704,1.2855542530768873,0.769,1.056617,1.4180290985918427,1.2,1.701634918310211
