jday,month,date,rh_10am,rh_4pm,tmax,tmin,tavg,earthtemp_10am,earthtemp_4pm,sunshine_hr,windspd_kmday,winddir_10am,winddir_4pm,rainfall_mm,pan_evap_mmday
1.0,7.0,1.0,76.0,58.0,30.0,19.0,,26.1,26.7,5.5,165.27,SW,NW,2.1,4.9
2.0,7.0,2.0,80.0,60.0,33.0,20.0,,26.1,26.9,7.5,211.7,SW,SW,,2.0
3.0,7.0,3.0,83.0,65.0,28.0,21.0,,26.2,26.7,4.2,193.29,SW,SW,13.8,6.0
4.0,7.0,4.0,82.0,69.0,29.0,19.0,,25.4,26.0,5.2,238.38,SW,SW,,9.1
5.0,7.0,5.0,86.0,72.0,29.0,21.0,,25.5,25.8,2.6,138.95,SW,SW,,5.1
6.0,7.0,6.0,84.0,69.0,32.0,21.0,,25.4,26.1,5.3,118.63,SW,NW,,2.9
7.0,7.0,7.0,83.0,66.0,28.0,19.0,,25.8,26.8,4.9,200.49,SW,SW,18.0,3.0
8.0,7.0,8.0,84.0,82.0,30.0,18.0,,25.5,25.5,3.1,123.13,SW,NW,,14.0
9.0,7.0,9.0,79.0,63.0,31.0,21.0,,25.6,26.3,8.6,112.21,S,SW,,3.1
10.0,7.0,10.0,75.0,62.0,32.0,21.0,,26.0,26.8,7.1,114.97,SW,NW,15.7,4.0
11.0,7.0,11.0,96.0,63.0,29.0,18.0,,26.1,26.0,3.7,146.44,SW,S,,10.1
12.0,7.0,12.0,71.0,68.0,30.0,19.0,,25.7,26.3,5.8,166.94,NW,NW,,2.0
13.0,7.0,13.0,81.0,63.0,32.0,21.0,,26.1,26.6,7.4,186.54,S,SW,,6.1
14.0,7.0,14.0,84.0,68.0,27.0,22.0,,26.4,26.1,0.1,120.97,SW,SW,13.0,3.9
15.0,7.0,15.0,85.0,83.0,30.0,20.0,,25.5,26.0,4.4,206.93,SW,SW,,11.0
16.0,7.0,16.0,84.0,67.0,28.0,21.0,,25.6,26.8,3.2,165.03,SW,SW,,5.0
17.0,7.0,17.0,78.0,79.0,32.0,19.0,,25.0,26.6,6.7,154.35,SW,NW,,10.3
18.0,7.0,18.0,82.0,62.0,29.0,20.0,,25.7,26.2,3.0,173.35,NW,SW,,3.9
19.0,7.0,19.0,83.0,75.0,30.0,21.0,,25.7,26.1,5.2,139.81,SW,SW,,4.1
20.0,7.0,20.0,80.0,64.0,30.0,20.0,,25.8,26.4,6.2,159.35,SW,SW,13.7,4.0
21.0,7.0,21.0,97.0,59.0,28.0,20.0,,26.0,26.0,4.4,104.21,NW,NW,,8.0
22.0,7.0,22.0,79.0,69.0,31.0,20.0,,25.7,26.3,5.8,189.48,NE,NW,17.2,2.1
23.0,7.0,23.0,83.0,65.0,30.0,19.0,,25.7,26.3,6.1,182.92,SW,SW,,12.1
24.0,7.0,24.0,74.0,67.0,31.0,21.0,,26.0,26.8,6.5,159.06,SW,SW,6.7,5.1
25.0,7.0,25.0,80.0,64.0,31.0,21.0,,26.0,26.5,6.1,135.1,SW,SW,13.8,2.0
26.0,7.0,26.0,89.0,72.0,29.0,19.0,,25.8,26.1,3.1,130.94,SW,SW,8.6,10.0
27.0,7.0,27.0,97.0,89.0,28.0,19.0,,25.6,26.5,6.1,170.93,SW,SW,,6.2
28.0,7.0,28.0,80.0,61.0,30.0,21.0,,25.8,26.3,7.0,151.12,SW,SW,,2.9
29.0,7.0,29.0,79.0,66.0,32.0,21.0,,26.1,26.6,9.3,154.58,SW,NW,,5.1
30.0,7.0,30.0,83.0,65.0,32.0,21.0,,26.3,26.8,8.3,193.3,NW,NW,34.6,4.9
31.0,7.0,31.0,84.0,65.0,38.0,19.0,,26.0,26.0,0.7,152.0,NW,SE,8.1,7.4
32.0,8.0,1.0,74.0,70.0,30.0,18.0,,25.3,25.8,7.0,133.82,S,NW,5.0,1.9
33.0,8.0,2.0,83.0,70.0,30.0,22.0,,25.8,26.5,6.4,177.5,SW,SW,55.2,1.1
34.0,8.0,3.0,99.0,67.0,27.0,18.0,,25.4,25.2,1.6,109.17,N,NW,1.1,2.9
35.0,8.0,4.0,87.0,76.0,28.0,19.0,,25.0,25.2,3.4,172.63,SW,SW,1.6,0.3
36.0,8.0,5.0,86.0,82.0,28.0,21.0,,24.9,25.2,0.2,190.61,SW,SW,,2.0
37.0,8.0,6.0,87.0,83.0,27.0,21.0,,24.9,25.0,1.0,195.37,SW,SW,,1.1
38.0,8.0,7.0,86.0,83.0,28.0,21.0,,24.6,25.0,5.4,163.41,SW,SW,5.8,1.0
39.0,8.0,8.0,81.0,72.0,30.0,18.0,,24.5,25.5,4.1,101.4,SW,SW,,2.9
40.0,8.0,9.0,79.0,66.0,31.0,21.0,,25.3,25.8,3.4,118.09,NW,NW,,1.0
41.0,8.0,10.0,75.0,65.0,30.0,19.0,,25.3,25.8,9.0,165.98,NW,SW,65.3,10.0
42.0,8.0,11.0,79.0,72.0,28.0,18.0,,25.2,25.8,3.8,219.41,SW,SW,,7.0
43.0,8.0,12.0,76.0,75.0,27.0,21.0,,25.1,25.4,1.6,149.21,SW,SW,,2.0
