month,day,rh_10am,rh_4pm,tmax,tmin,sunshine_hr,wind_kmday,rainfall_mm
1,1,48.0,27.0,26.0,14.0,7.4,103.89,
1,2,48.0,34.0,24.0,14.0,7.8,316.0,
1,3,32.0,14.0,24.0,11.0,8.0,195.77,
1,4,18.0,22.0,24.0,13.0,7.0,112.14,
1,5,17.0,20.0,24.0,13.0,,215.75,
1,6,18.0,19.0,30.0,10.0,7.2,87.67,
1,7,27.0,13.0,32.0,12.0,0.7,47.7,
1,8,39.0,17.0,32.0,14.0,3.8,50.23,
1,9,23.0,19.0,34.0,11.0,8.9,103.67,
1,10,15.0,24.0,31.0,16.0,8.0,160.0,
1,11,15.0,27.0,31.0,14.0,8.9,49.6,
1,12,13.0,26.0,30.0,12.0,6.6,64.81,
1,13,18.0,26.0,26.0,12.0,8.2,177.6,
1,14,27.0,23.0,22.0,11.0,7.0,172.0,
1,15,27.0,23.0,25.0,11.0,8.4,125.18,
1,16,57.0,15.0,25.0,11.0,3.0,88.84,
1,17,22.0,13.0,30.0,12.0,4.1,39.1,
1,18,24.0,20.0,31.0,14.0,2.2,32.0,
1,19,20.0,15.0,34.0,18.0,8.0,44.97,
1,20,14.0,19.0,33.0,15.0,8.5,51.65,
1,21,11.0,12.0,32.0,18.0,9.5,72.42,
1,22,22.0,12.0,34.0,15.0,8.5,58.26,
1,23,17.0,11.0,32.0,13.0,7.6,26.24,
1,24,16.0,15.0,35.0,16.0,7.1,24.99,
1,25,20.0,12.0,35.0,15.0,3.0,15.19,
1,26,23.0,13.0,35.0,18.0,9.0,32.22,
1,27,16.0,9.0,28.0,18.0,9.2,2176.0,
1,28,12.0,7.0,28.0,15.0,8.5,131.53,
1,29,18.0,8.0,28.0,16.0,4.4,161.54,
1,30,23.0,29.0,26.0,12.0,5.9,158.38,
1,31,17.0,26.0,26.0,14.0,7.5,169.88,
2,1,21.0,7.0,23.0,14.0,0.0,149.49,
2,2,18.0,13.0,36.0,13.0,0.0,110.55,
2,3,18.0,14.0,31.0,14.0,0.0,17.43,
2,4,23.0,12.0,31.0,16.0,0.0,23.31,
2,5,18.0,13.0,32.0,17.0,0.0,19.39,
2,6,19.0,13.0,33.0,19.0,7.4,88.03,
2,7,19.0,11.0,33.0,19.0,7.6,141.03,
2,8,,17.0,31.0,17.0,8.3,105.33,
2,9,10.0,21.0,31.0,16.0,8.5,89.39,
2,10,8.0,20.0,32.0,15.0,8.3,101.29,
2,11,8.0,9.0,32.0,16.0,7.9,82.62,
2,12,8.0,7.0,33.0,14.0,8.8,68.96,
2,13,12.0,9.0,34.0,15.0,9.5,71.7,
2,14,8.0,5.0,33.0,16.0,9.0,95.5,
2,15,19.0,24.0,31.0,15.0,7.8,105.16,
2,16,18.0,13.0,31.0,14.0,8.2,54.68,
2,17,10.0,13.0,34.0,14.0,9.0,30.16,
2,18,10.0,9.0,35.0,17.0,9.2,61.83,
2,19,17.0,7.0,35.0,18.0,8.1,91.11,
2,20,13.0,15.0,32.0,18.0,9.2,182.44,
2,21,10.0,9.0,30.0,18.0,0.0,145.99,
2,22,4.0,14.0,29.0,15.0,3.3,167.04,
2,23,11.0,11.0,30.0,17.0,0.0,140.01,
2,24,8.0,11.0,30.0,15.0,8.7,152.89,
